Comment,Designator,Footprint,LCSC
1N4007,"D1,D2,D3,D4,D5",Diode_SMD:D_SMA,C95872
Screw_Terminal_01x02_blue,J1,0_connectors:TerminalBlock_bornier-2_P5.08mm-blue,C430621
logo_lectix_25mm,LOGO1,0_logos:Logo_10mm,
