Designator,Mid X,Mid Y,Layer,Rotation
D1,4.76,-5.26,T,90.0
D2,8.57,-5.26,T,90.0
D3,12.38,-5.26,T,90.0
D4,16.19,-5.26,T,90.0
D5,20.0,-5.26,T,90.0
J1,12.46,-13.5,T,180.0
LOGO1,17.0,-2.0,B,180.0
